hName,Year,Category,Adjusted_2023_Cost_BDollars
Katrina,2005,3,195
Harvey,2017,4,155
Ian,2022,4,115.2
Maria,2017,4,111.6
Sandy,2012,1,85.9
Ida,2021,4,82.4
Irma,2017,4,62
Andrew,1992,5,58.6
Ike,2008,2,42
Ivan,2004,3,33
Michael,2018,5,30.2
Wilma,2005,3,29.1
Florence,2018,1,29
Rita,2005,3,28.5
Laura,2020,4,27.4
Charley,2004,4,25.8
Hugo,1989,4,22
Irene,2011,1,18.2
Frances,2004,2,15.8
Agnes,1972,1,15.4
Allison,2001,TS,14.7
Betsy,1965,3,13.7
Matthew,2016,1,12.6
Jeanne,2004,3,12.1
Camille,1969,5,11.9
Floyd,1999,2,11.8
Georges,1998,2,11.2
Fran,1996,3,9.7
Diane,1955,1,9.5
Opal,1995,3,9.3
Alicia,1983,3,9.2
Isabel,2003,2,9
Sally,2020,2,8.6
Gustav,2008,2,8.4
Celia,1970,3,7.3
Frederic,1979,3,7.2
Iniki,1992,4,6.7
Long Islan Express,1938,3,6.6
Great Atlantic Hurricane,1944,3,6.1
Imelda,2019,TS,6
Isaias,2020,1,5.6
Carol,1954,3,5.2
Zeta,2020,2,5.1
Marilyn,1995,2,4.2
Juan,1985,1,4.2
Donna,1960,4,4
Dennis,2005,3,3.9
Isaac,2012,1,3.7
Elena,1985,3,3.7
Lee,2011,TS,3.4
Delta,2020,2,3.4
Bob,1991,2,3.4
